"Município","","","Nome do Abrigo","","","","","","","","","","","","","Endereço Abrigo","","","","","","","","","","Capacidade",""
"PORTO ALEGRE","","","Quadra de Samba Imperiais da Ponte","","","","","","","","","","","","","Rua Dezessete, 80","","","","","","","","","","70",""
"PORTO ALEGRE","","","Quadra dos Imperiais da Ponte","","","","","","","","","","","","","Rua Dezessete, 80 Bom Jesus","","","","","","","","","","70",""
"PORTO ALEGRE","","","Rainha do Brasil","","","","","","","","","","","","","PAULINO CHAVES, 262 SANTO ANTÔNIO","","","","","","","","","","60",""
"PORTO ALEGRE","","","Rosane Arruda machado","","","","","","","","","","","","","Avenida Nossa Senhora Aparecida","","","","","","","","","","35",""
"PORTO ALEGRE","","","Sede Campestre do Colégio Farroupilha","","","","","","","","","","","","","Rua Antônio Cardoso da Silva , , perpendicular a RS 040","","","","","","","","","","38",""
"PORTO ALEGRE","","","SESC PETRÓPOLIS (PROTÁSIO)","","","","","","","","","","","","","Av. Protásio Alves, nº 6220","","","","","","","","","","200",""
"PORTO ALEGRE","","","SESI RUBEM BERTA","","","","","","","","","","","","","Rua Paulino Gonçalves Barcelos, 307. Bairro Rubem Berta Porto Alegre","","","","","","","","","","360",""
"PORTO ALEGRE","","","SOGIPA","","","","","","","","","","","","","Rua Barão de Cotegipe, 415 - Porto Alegre, RS.","","","","","","","","","","174",""
"PORTO ALEGRE","","","UCERGS","","","","","","","","","","","","","Rua Frei Henrique Golland Trindade, 425 (Whats do abrigo 51-982476356)","","","","","","","","","","17",""
"PORTO ALEGRE","","","Unidos da Tuca - Cervejaria da Tula","","","","","","","","","","","","","Rua A, nº 100","","","","","","","","","","31",""
